,0
AmazonTranslate_Bible_pl.txt.csv,0.093
AmazonTranslate_Book_pl.txt.csv,0.035
AmazonTranslate_Subtitles_pl.txt.csv,0.092
AmazonTranslate_Ubuntu_pl.txt.csv,0.177
AmazonTranslate_Wikipedia_pl.txt.csv,0.282
DeepL_Bible_pl.txt.csv,0.177
DeepL_Book_pl.txt.csv,0.053
DeepL_Subtitles_pl.txt.csv,0.197
DeepL_Ubuntu_pl.txt.csv,0.252
DeepL_Wikipedia_pl.txt.csv,0.312
GoogleTranslator_Bible_pl.txt.csv,0.225
GoogleTranslator_Book_pl.txt.csv,0.046
GoogleTranslator_Subtitles_pl.txt.csv,0.158
GoogleTranslator_Ubuntu_pl.txt.csv,0.228
GoogleTranslator_Wikipedia_pl.txt.csv,0.285
MicrosoftTranslator_Bible_pl.txt.csv,0.147
MicrosoftTranslator_Book_pl.txt.csv,0.05
MicrosoftTranslator_Subtitles_pl.txt.csv,0.082
MicrosoftTranslator_Ubuntu_pl.txt.csv,0.207
MicrosoftTranslator_Wikipedia_pl.txt.csv,0.372
YandexTranslate_Bible_pl.txt.csv,0.211
YandexTranslate_Book_pl.txt.csv,0.05
YandexTranslate_Subtitles_pl.txt.csv,0.167
YandexTranslate_Ubuntu_pl.txt.csv,0.273
YandexTranslate_Wikipedia_pl.txt.csv,0.329
